"","FirstFloretDay","InflorescenceExertLen","PanicleLen","PlantHgt","genome_dist"
"FirstFloretDay",1,-0.442482468520734,-0.400110314235337,0.567005395895935,-0.388814902167544
"InflorescenceExertLen",-0.442482468520734,1,-0.133742065908309,-0.0718040365441653,0.280423880383156
"PanicleLen",-0.400110314235337,-0.133742065908309,1,-0.412801163533802,0.232521794229821
"PlantHgt",0.567005395895935,-0.0718040365441653,-0.412801163533802,1,-0.333760134511287
"genome_dist",-0.388814902167544,0.280423880383156,0.232521794229821,-0.333760134511287,1
