"","acceNumb","X12hr_DryMtrDigest","Fat","Fiber","Mtblzble_Enrgy","NetEnGain","NetEnLact","NetEnMaint","Phosphorus","Protein","Starch","TotalNutrients","genome_feature"
"1","PI 510904",0.274,4.41,4.49,164.92,64.95,89.29,95.37,0.37,11.55,71.06,85.28,"43559"
"2","PI 510907",0.264,4.17,4.77,165.15,64.57,89.25,94.81,0.36,11.12,71.27,84.93,"43638"
"3","PI 510917",0.291,3.08,4.97,164.94,64.23,89.24,94.23,0.45,13.04,70.18,84.57,"37526"
"4","PI 510921",0.269,4.44,5.15,161.54,63.82,89.13,93.99,0.39,12.73,69.84,84.29,"42452"
"5","PI 510922",0.264,4.62,4.95,162.47,64.25,89.2,94.41,0.39,11.75,70.45,84.65,"43519"
"6","PI 510923",0.266,4.58,5.18,161.47,63.76,89.11,93.94,0.41,12.77,69.44,84.24,"43551"
