"","genesysId","instCode","acceNumb","genus","12hr_DryMtrDigest","Fat","Fiber","Mtblzble_Enrgy","NetEnGain","NetEnLact","NetEnMaint","Phosphorus","Protein","Starch","TotalNutrients"
"2405",424193,"USA016","PI 555677","Sorghum",0.216,3.77,7.52,153.65,59.45,88.52,88.95,0.45,11.95,68.48,80.59
"2406",424194,"USA016","PI 555678","Sorghum",0.214,3.38,8.77,149.31,57.25,88.24,86.32,0.52,14.8,67.39,78.63
"2407",424208,"USA016","PI 560476","Sorghum",0.236,4.24,4.98,158.79,64.04,89.2,94.3,0.43,12.92,70.59,84.52
"2408",424227,"USA016","PI 562891","Sorghum",0.176,4.1,8.76,144.14,57.35,88.26,86.36,0.5,15.13,67.65,78.69
"2409",424239,"USA016","PI 563374","Sorghum",0.261,3.28,4.25,162.07,65.51,89.4,95.86,0.35,10.07,73.12,85.74
"2410",424240,"USA016","PI 563424","Sorghum",0.259,3.83,5.37,159.2,63.63,89.12,93.6,0.4,11.62,71.63,84.11
"2411",424241,"USA016","PI 563433","Sorghum",0.256,3.82,6.58,152.79,61.19,88.76,90.88,0.38,10.5,72.91,82.07
"2412",424245,"USA016","PI 563539","Sorghum",0.214,4.96,6.72,153.08,60.93,88.78,90.62,0.54,14.98,68.45,81.83
"2413",424246,"USA016","PI 563724","Sorghum",0.244,3.19,5.91,155.51,62.63,88.98,92.39,0.38,12.34,71.2,83.23
"2414",424247,"USA016","PI 563755","Sorghum",0.249,4.32,4.69,160.62,64.6,89.28,94.9,0.4,11.29,71.53,85.02
"2415",424248,"USA016","PI 563813","Sorghum",0.265,4.04,4.71,160.89,64.53,89.24,94.88,0.38,13.11,70.48,84.95
"2416",424249,"USA016","PI 563824","Sorghum",0.248,3.71,4.11,162.07,65.35,89.47,95.93,0.4,11.65,72.61,85.7
"2417",424258,"USA016","PI 565133","Sorghum",0.28,4.43,5.58,157.97,62.94,89.02,92.94,0.51,13.79,68.51,83.5
"2418",424261,"USA016","PI 565156","Sorghum",0.236,3.45,5.65,157.55,62.88,89.02,92.86,0.36,11.31,71.24,83.51
"2419",424265,"USA016","PI 567948","Sorghum",0.207,5.14,5.19,160.08,63.71,89.15,93.94,0.39,12.81,70.36,84.24
"2420",424266,"USA016","PI 567950","Sorghum",0.236,3.62,6.13,155.05,62.09,88.9,91.91,0.4,12.05,71.92,82.84
"2421",424267,"USA016","PI 567971","Sorghum",0.207,3.97,5.91,155.92,62.34,88.97,92.33,0.34,10.97,73.52,83.04
"2422",424407,"USA016","PI 586541","Sorghum",0.243,4.63,5.19,160.15,63.84,89.16,93.87,0.43,12.65,70.65,84.25
"2423",424408,"USA016","PI 586549","Sorghum",0.168,4.16,6.98,151.53,60.67,88.66,90.24,0.4,10.82,70.49,81.61
"2424",424524,"USA016","PI 599705","Sorghum",0.236,3.86,6.42,153.36,61.48,88.82,91.26,0.4,12.9,69.95,82.32
"2425",424536,"USA016","PI 599814","Sorghum",0.228,3.32,5,158.74,63.96,89.17,94.27,0.32,10.59,72.12,84.51
"2426",424537,"USA016","PI 599859","Sorghum",0.247,3.32,5.7,156.85,62.74,88.99,92.76,0.33,10.48,71.16,83.43
"2427",424539,"USA016","PI 599877","Sorghum",0.258,3.3,6.3,153.54,61.63,88.84,91.46,0.38,11.89,71.38,82.46
"2428",424540,"USA016","PI 599878","Sorghum",0.26,2.58,6.19,155.87,61.95,88.89,91.78,0.35,12.32,71.25,82.66
"2429",424541,"USA016","PI 599910","Sorghum",0.227,3.34,5.73,155.73,62.6,88.98,92.73,0.38,12.08,71.16,83.36
"2430",424549,"USA016","PI 602671","Sorghum",0.221,4.7,6.79,151.83,60.88,88.72,90.6,0.44,13.78,67.57,81.83
"2431",424550,"USA016","PI 602679","Sorghum",0.19,2.75,9.18,143.55,56.52,88.16,85.52,0.5,14.5,68.13,78.1
"2432",424551,"USA016","PI 602705","Sorghum",0.189,3.08,7.78,147.72,59.05,88.47,88.46,0.37,11.92,70.28,80.26
"2433",424553,"USA016","PI 602809","Sorghum",0.24,3.68,6.48,153.53,61.44,88.84,91.17,0.46,14.42,68.61,82.22
"2434",438075,"USA016","Grif 590","Sorghum",0.257,3.59,5.07,163.94,63.93,89.15,94.09,0.39,13.5,68.6,84.4
"2435",438169,"USA016","PI 585313","Sorghum",0.173,4.88,7.56,149.81,59.44,88.51,88.95,0.44,13.63,68.1,80.56
"2436",438170,"USA016","PI 585322","Sorghum",0.19,3.8,7.6,149.66,59.42,88.54,88.86,0.45,13.97,69.1,80.51
"2437",438210,"USA016","PI 586446","Sorghum",0.266,3.99,5.7,156.98,62.95,89.02,92.87,0.42,11.85,71.69,83.52
"2438",438683,"USA016","PI 152795","Sorghum",0.241,4.22,7.05,155.67,60.53,88.66,90.07,0.44,13.49,68.63,81.47
"2439",438720,"USA016","PI 164416","Sorghum",0.192,4.54,6.8,152.42,59.32,88.53,88.51,0.47,16.33,65.48,80.31
"2440",438731,"USA016","PI 167014","Sorghum",0.287,4.16,4.97,163.34,64.26,89.19,94.35,0.4,12.32,70.28,84.58
"2441",438738,"USA016","PI 170784","Sorghum",0.277,4.94,5.69,161.06,62.95,88.99,92.87,0.42,14.09,68.1,83.49
"2442",438740,"USA016","PI 170792","Sorghum",0.277,4.97,4.74,162.86,64.59,89.25,94.83,0.43,12.28,69.48,84.93
"2443",438863,"USA016","PI 206994","Sorghum",0.131,5.64,8.31,148.1,57.94,88.29,87.36,0.57,17.69,61.73,79.42
"2444",438886,"USA016","PI 217839","Sorghum",0.243,3.71,7.07,155.16,60.43,88.67,89.94,0.39,12.21,70.71,81.39
"2445",438887,"USA016","PI 218112","Sorghum",0.267,4.16,5.52,158.89,62.12,88.89,92.01,0.4,13.98,68.68,82.82
"2446",438906,"USA016","PI 229857","Sorghum",0.26,3.98,5.97,160.61,62.35,88.98,92.2,0.41,14.11,69.51,82.96
"2447",439003,"USA016","PI 264451","Sorghum",0.226,4.25,6.63,158.12,61.2,88.78,90.91,0.39,12.89,70.14,82.03
"2448",439006,"USA016","PI 266956","Sorghum",0.241,5.52,5.34,162.95,63.45,89.07,93.57,0.35,12.2,71.07,84.02
"2449",439012,"USA016","PI 267490","Sorghum",0.264,4.09,5.65,161.04,62.95,89.07,92.89,0.42,12.64,69.94,83.54
